OpenAL-devel,pkgconfig(openal)
libgudev-devel,pkgconfig(gudev-1.0)
libical-devel,pkgconfig(libical)
libical-glib-devel,pkgconfig(libical-glib)
libicu-devel,pkgconfig(icu-i18n)
libicu-devel,pkgconfig(icu-io)
libicu-devel,pkgconfig(icu-uc)
libid3tag-devel,pkgconfig(id3tag)
libiphb-devel,pkgconfig(libiphb)
libiptcdata-devel,pkgconfig(libiptcdata)
libjpeg-turbo-devel,pkgconfig(libjpeg)
libjpeg-turbo-devel,pkgconfig(libturbojpeg)
libkeepalive-devel,pkgconfig(keepalive)
libkeepalive-glib-devel,pkgconfig(keepalive-glib)
libkf5archive-devel,pkgconfig(KF5Archive)
libksba-devel,pkgconfig(ksba)
libmce-glib-devel,pkgconfig(libmce-glib)
libmce-qt5-devel,pkgconfig(mce-qt5)
libmediaart-devel,pkgconfig(libmediaart-2.0)
libmediaoverridesqt5-devel,pkgconfig(libmediaoverridesqt5)
libmlocale-qt5-devel,pkgconfig(mlocale5)
libmng-devel,pkgconfig(libmng)
libmnl-devel,pkgconfig(libmnl)
libmount-devel,pkgconfig(mount)
libnemotransferengine-qt5-devel,pkgconfig(nemotransferengine-qt5)
libnfcdef-devel,pkgconfig(libnfcdef)
libngf-devel,pkgconfig(libngf0)
libngf-qt5-devel,pkgconfig(ngf-qt5)
libnghttp2-devel,pkgconfig(libnghttp2)
libnice-devel,pkgconfig(nice)
libnl-devel,pkgconfig(libnl-3.0)
libnl-devel,pkgconfig(libnl-cli-3.0)
libnl-devel,pkgconfig(libnl-genl-3.0)
libnl-devel,pkgconfig(libnl-idiag-3.0)
libnl-devel,pkgconfig(libnl-nf-3.0)
libnl-devel,pkgconfig(libnl-route-3.0)
libnl-devel,pkgconfig(libnl-xfrm-3.0)
liboauth-devel,pkgconfig(oauth)
libogg-devel,pkgconfig(ogg)
libpcap-devel,pkgconfig(libpcap)
libpciaccess-devel,pkgconfig(pciaccess)
libpng-devel,pkgconfig(libpng)
libpng-devel,pkgconfig(libpng16)
libpolkit-qt-1-devel,pkgconfig(polkit-qt-1)
libpolkit-qt-1-devel,pkgconfig(polkit-qt-agent-1)
libpolkit-qt-1-devel,pkgconfig(polkit-qt-core-1)
libprolog-devel,pkgconfig(libprolog)
libpsl-devel,pkgconfig(libpsl)
libqofono-qt5-devel,pkgconfig(qofono-qt5)
libqofonoext-devel,pkgconfig(qofonoext)
libqt5sparql-devel,pkgconfig(Qt5Sparql)
libquillmetadata-qt5-devel,pkgconfig(quillmetadata-qt5)
libresource-devel,pkgconfig(libresource)
libresource-devel,pkgconfig(libresource-glib)
libresourceqt-qt5-devel,pkgconfig(libresourceqt5)
librest-devel,pkgconfig(rest-0.7)
librest-devel,pkgconfig(rest-extras-0.7)
librsvg-devel,pkgconfig(librsvg-2.0)
libsailfishapp-devel,pkgconfig(sailfishapp)
libsailfishcrypto-devel,pkgconfig(sailfishcrypto)
libsailfishcryptopluginapi-devel,pkgconfig(sailfishcryptopluginapi)
libsailfishkeyprovider-devel,pkgconfig(libsailfishkeyprovider)
libsailfishsecrets-devel,pkgconfig(sailfishsecrets)
libsailfishsecretscrypto-devel,pkgconfig(sailfishsecretscrypto)
libsailfishsecretspluginapi-devel,pkgconfig(sailfishsecretspluginapi)
libsbc-devel,pkgconfig(sbc)
libseccomp-devel,pkgconfig(libseccomp)
libselinux-devel,pkgconfig(libselinux)
libsemanage-devel,pkgconfig(libsemanage)
libsepol-devel,pkgconfig(libsepol)
libshadowutils-devel,pkgconfig(libshadowutils)
libsigc++20-devel,pkgconfig(sigc++-2.0)
libsignon-glib-devel,pkgconfig(libsignon-glib)
libsignon-qt5-devel,pkgconfig(libsignon-qt5)
libsmartcols-devel,pkgconfig(smartcols)
libsndfile-devel,pkgconfig(sndfile)
